,,Status Id,,Campus Pref,,,,Discpline Pref.,,,,Matriculation,,,,Intermediate,,,,,,NU Test Marks,,SAT I ,,SAT II,,,NU Merit Marks,,NTS Admission Offer,,NU Admission Offer,,Admission,,,,,,,,,,,,,,,,,,,,,,,,,
L,CITY,STATUS_ID,STATUS,Ist,2nd,3rd,4th,Ist,2nd,3rd,4th,Board,Degree,Total,Obtained,Board,Degree,Total,Obtained,NTS_MARKS,NU_TEST_CENTER,BBA,BS,Total,Obtained,Total,Obtained,NTS Merit Marks,BBA/BS(AF),BS,Campus,Discipline,Campus,Discipline,Campus,Discipline,DEGREE_STATUS,,,,,,,,,,,,,,,,,,,,,,,
1900058,Narowal,2,AcademicInfo,,,,,,,,,Gujranwala,SSC,1100,840,Lahore,HSSC-I,550,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900059,Umerkot,10,Admit Card Printed,KHI,,,,BS(CS),BS(SE),BS(EE),,Mirpur Khas,SSC,850,693,Mirpur Khas,HSSC-I,550,693,77,KHI,,67.180553,,,,,80.68,,75.77,KHI,BS(CS),,,ISB,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900060,Rahim Yar Khan,8,Fee Paid,LHR,,,,BS(CV),BS(EE),,,Cambridge,O-Level,900,765,Cambridge,A-Level,1100,765,86,,,,,,,,84.59,,,LHR,BS(CV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900061,Sukkur,10,Admit Card Printed,KHI,,,,BS(SE),,,,Hyderabad,SSC,850,602,Sukkur,HSSC (I+II),1100,602,,KHI,,13.388889,,,,,,,49.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900062,Bahawalpur,1,PersonalInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900063,Islamabad,10,Admit Card Printed,ISB,,,,BS(CS),,,,Rawalpindi,SSC,1100,871,Federal,HSSC-I,520,871,,ISB,,33.659719,,,,,,,47.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900065,Islamabad,2,AcademicInfo,,,,,,,,,Cambridge,O-Level,900,596,Cambridge,A-Level,1100,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900067,Islamabad,10,Admit Card Printed,ISB,,,,BS(CS),,,,Cambridge,O-Level,900,748,,,,748,,ISB,,43.062496,,,,,,,58.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900069,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(EE),BS(CV),,Lahore,SSC,1100,930,Lahore,HSSC-I,520,930,,LHR,,50.319441,,,,,,,61.22,,,LHR,BS(EE),LHR,BS(EE)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900070,Peshawar,10,Admit Card Printed,PWR,,,,BS(CS),BS(SE),,,Federal,SSC,1050,801,Federal,HSSC-I,510,801,,PWR,,41.097221,,,,,,,57.31,,,PWR,BS(CS),,,,,,,,,,,,,,,,,,,,,,,,,,
1900071,Islamabad,9,Scheduled,ISB,,,,BS(EE),,,,Gujranwala,SSC,1100,749,Gujranwala,HSSC (I+II),1100,749,,ISB,,43.402773,,,,,,,56.47,,,,,PWR,BS(SE)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900072,Others,10,Admit Card Printed,LHR,,,,BS(CS),,,,Sahiwal,SSC,1100,1026,Sahiwal,HSSC-I,520,1026,,LHR,,55.874996,,,,,,,68.23,,,LHR,BS(CS),LHR,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900073,Islamabad,8,Fee Paid,ISB,,,,BS(CS),,,,London,O-Level,900,810,,,,810,74,,,,,,,,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900075,Multan,10,Admit Card Printed,LHR,,,,BS(CS),,,,Multan,SSC,1100,992,Multan,HSSC-I,520,992,68,LHR,,36.527776,,,,,68.52,,52.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900077,Karachi ,8,Fee Paid,PWR,,,,BS(CS),,,,Cambridge,O-Level,900,703,,,,703,,,,,2400,1700,800,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900079,Sukkur,6,Declaration,LHR,,,,BS(CV),,,,Sukkur,SSC,850,675,Sukkur,HSSC-I,550,675,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900080,Islamabad,10,Admit Card Printed,ISB,,,,BS(CS),,,,Rawalpindi,SSC,1100,948,Rawalpindi,HSSC-I,520,948,77,ISB,,54.055553,,,,,75.52,,64.05,,,ISB,BS(CS),ISB,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900083,Bahawalpur,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,731,,,,731,,LHR,,48.416665,,,,,,,60.76,,,,,KHI,BS(SE)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900084,Multan,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,743,,,,743,,LHR,,30.527777,,,,,,,52.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900086,Lahore,8,Fee Paid,PWR,,,,BS(EE),BS(SE),,,Lahore,SSC,1100,914,,,,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900087,Sukkur,10,Admit Card Printed,KHI,,,,BBA,,,,Sukkur,SSC,850,620,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900089,Islamabad,1,PersonalInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900090,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Lahore,SSC,1100,1002,Lahore,HSSC-I,510,1002,52,LHR,,33.229162,,,,,68.75,,59.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900091,Karachi ,8,Fee Paid,PWR,,,,BS(SE),BS(CS),,,Karachi,SSC,850,527,Karachi,HSSC (I+II),1100,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900093,Karachi ,10,Admit Card Printed,ISB,,,,BS(CS),,,,Larkana,SSC,850,605,Larkana,HSSC-I,550,605,,KHI,,41.437499,,,,,,,65.08,,,ISB,BS(CS),KHI,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900094,Islamabad,10,Admit Card Printed,PWR,,,,BS(CS),,,,Federal,SSC,1050,806,Federal,HSSC (I+II),1100,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900096,Islamabad,10,Admit Card Printed,ISB,,,,BS(CS),,,,Rawalpindi,SSC,1100,893,Federal,HSSC-I,520,893,,ISB,,54.597222,,,,,,,57.01,,,,,ISB,BS(DS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900097,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),BS(SE),,,Karachi,SSC,850,680,Karachi,HSSC (I+II),1100,680,,KHI,,24.61111,,,,,,,45.44,,,,,KHI,BBA       ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900098,Lahore,2,AcademicInfo,,,,,,,,,Lahore,SSC,1100,851,Lahore,HSSC (I+II),1100,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900100,Others,2,AcademicInfo,,,,,,,,,Cambridge,O-Level,900,686,Cambridge,A-Level,1100,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
